### lut_RT_SL ###
id;sndfnA;sndfnB;sndfnC
1;"rak.wav";"X_mofig.wav";"toef.wav"
2;"rak.wav";"X_seta.wav";"toef.wav"
3;"rak.wav";"X_wiffel.wav";"toef.wav"
4;"rak.wav";"X_rogges.wav";"toef.wav"
5;"rak.wav";"X_kengel.wav";"toef.wav"
6;"rak.wav";"X_kasi.wav";"toef.wav"
7;"rak.wav";"X_loga.wav";"toef.wav"
8;"rak.wav";"X_snigger.wav";"toef.wav"
9;"rak.wav";"X_noeba.wav";"toef.wav"
10;"rak.wav";"X_domo.wav";"toef.wav"
11;"rak.wav";"X_wadim.wav";"toef.wav"
12;"rak.wav";"X_banip.wav";"toef.wav"
13;"rak.wav";"X_rajee.wav";"toef.wav"
14;"rak.wav";"X_plizet.wav";"toef.wav"
15;"rak.wav";"X_naspoe.wav";"toef.wav"
16;"rak.wav";"X_fidan.wav";"toef.wav"
17;"rak.wav";"X_nilbo.wav";"toef.wav"
18;"rak.wav";"X_poemer.wav";"toef.wav"
19;"rak.wav";"X_tita.wav";"toef.wav"
20;"rak.wav";"X_bensim.wav";"toef.wav"
21;"rak.wav";"X_gopem.wav";"toef.wav"
22;"rak.wav";"X_sulep.wav";"toef.wav"
23;"rak.wav";"X_hiftam.wav";"toef.wav"
24;"rak.wav";"X_vami.wav";"toef.wav"
25;"sot.wav";"X_mofig.wav";"lut.wav"
26;"sot.wav";"X_seta.wav";"lut.wav"
27;"sot.wav";"X_wiffel.wav";"lut.wav"
28;"sot.wav";"X_rogges.wav";"lut.wav"
29;"sot.wav";"X_kengel.wav";"lut.wav"
30;"sot.wav";"X_kasi.wav";"lut.wav"
31;"sot.wav";"X_loga.wav";"lut.wav"
32;"sot.wav";"X_snigger.wav";"lut.wav"
33;"sot.wav";"X_noeba.wav";"lut.wav"
34;"sot.wav";"X_domo.wav";"lut.wav"
35;"sot.wav";"X_wadim.wav";"lut.wav"
36;"sot.wav";"X_banip.wav";"lut.wav"
37;"sot.wav";"X_rajee.wav";"lut.wav"
38;"sot.wav";"X_plizet.wav";"lut.wav"
39;"sot.wav";"X_naspoe.wav";"lut.wav"
40;"sot.wav";"X_fidan.wav";"lut.wav"
41;"sot.wav";"X_nilbo.wav";"lut.wav"
42;"sot.wav";"X_poemer.wav";"lut.wav"
43;"sot.wav";"X_tita.wav";"lut.wav"
44;"sot.wav";"X_bensim.wav";"lut.wav"
45;"sot.wav";"X_gopem.wav";"lut.wav"
46;"sot.wav";"X_sulep.wav";"lut.wav"
47;"sot.wav";"X_hiftam.wav";"lut.wav"
48;"sot.wav";"X_vami.wav";"lut.wav"
